level,series,comparison,model_a,model_b,horizon,n,origins,mae_a,mae_b,delta_mae_pct_b_vs_a,delta_mae_pct_ci95_lo,delta_mae_pct_ci95_hi,better_by_mae,dm_abs,p_abs,sig_abs,dm_sq,p_sq,sig_sq
path,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,6,252,42,0.6422973933007075,0.6227630846912038,-3.0413183695357455,-4.2074698218954545,-1.5453358494438012,chronos2_C1_validated_global,2.7840164294899536,0.005777785844582249,**,2.620915003890231,0.009304504186726202,**
path,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,12,432,36,1.3374642636144916,1.3011076838248274,-2.718321586508084,-3.497966025678537,-1.907214466157597,chronos2_C1_validated_global,3.6724562872503363,0.00027042752892598234,**,3.1748450705434204,0.0016067011492998885,**
endpoint,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,1,47,47,0.2519071459150486,0.2722821971044227,8.088318064722644,1.3659541425380834,15.907851838227351,chronos2_C0_global,-2.2377829397149895,0.030119550447523936,**,-1.7947138564883414,0.07927185359989634,*
endpoint,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,3,45,45,0.48976710130946355,0.4609602186337914,-5.881751264764982,-9.262880572095398,-2.7336313481023975,chronos2_C1_validated_global,1.8371609995505327,0.07294586247149085,*,1.4061334720674155,0.1667076683340857,ns
endpoint,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,6,42,42,1.1443136465405372,1.106608425748109,-3.295007527561851,-4.300063963867431,-2.0712424529684883,chronos2_C1_validated_global,1.3143869883560362,0.19602191087010537,ns,1.2984435799882452,0.20139120279985429,ns
endpoint,Global,Chronos-2 validated context,chronos2_C0_global,chronos2_C1_validated_global,12,36,36,2.3131123581580417,2.2619947153108715,-2.2099074723666177,-2.9110227753504208,-1.549513412159347,chronos2_C1_validated_global,1.5985193979380394,0.11891740831668914,ns,1.4665335636143944,0.15143111143761182,ns
path,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,1,47,47,0.21029511500802783,0.21371679218954406,1.6270835303928057,-16.331429153472886,24.063636181178083,timesfm_C0_global,-0.16585690320718552,0.8689963919659189,ns,0.1686920063892109,0.8667784890239922,ns
path,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,3,135,45,0.37599608290226055,0.34872855005917064,-7.25207896651893,-16.819337966267717,4.381855440589672,timesfm_C1_inst_global,1.058420651365406,0.29176794584463683,ns,1.635393932135035,0.10431338049704146,ns
path,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,6,252,42,0.647464404088527,0.6071951402932142,-6.2195332347269625,-12.092975285129743,0.5975667212942979,timesfm_C1_inst_global,1.3382661133264757,0.18202073829947818,ns,2.127030774049382,0.03439302290059716,**
path,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,12,432,36,1.2332855181209013,1.1912899074706127,-3.4051815279786375,-7.040582815538282,1.0634730613943209,timesfm_C1_inst_global,1.0815629667475297,0.2800515400248968,ns,2.360272039561825,0.018706171546869547,**
endpoint,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,1,47,47,0.21029511500802783,0.21371679218954406,1.6270835303928057,-16.331429153472886,24.063636181178083,timesfm_C0_global,-0.16585690320718552,0.8689963919659189,ns,0.1686920063892109,0.8667784890239922,ns
endpoint,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,3,45,45,0.5447677563336043,0.5051317492354217,-7.275762311070104,-15.0144811686575,2.087234792911276,timesfm_C1_inst_global,0.7706838328171677,0.44501310261809623,ns,1.2023413707363995,0.23566204390158424,ns
endpoint,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,6,42,42,1.075967790271274,1.0178354905872002,-5.402791813072534,-9.519619464434495,-0.8727448447965982,timesfm_C1_inst_global,0.7434129996788063,0.4614706815770878,ns,0.9813001389803948,0.3322001033802674,ns
endpoint,Global,TimesFM context,timesfm_C0_global,timesfm_C1_inst_global,12,36,36,2.011331101511441,1.9708173132676157,-2.014277421225203,-4.881685067823858,1.4188351747202517,timesfm_C1_inst_global,0.46036286264525195,0.6481033037631634,ns,0.8145348205817374,0.42084647892333105,ns
path,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,1,47,47,0.21029511500802783,0.1951982194006292,-7.178909318374951,-14.971823088666424,0.6056181835311184,timesfm_C1_validated_global,1.754412586667659,0.08601957641552369,*,1.2083939026171424,0.23307123966887705,ns
path,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,3,135,45,0.37599608290226055,0.3604659896023097,-4.130386992352759,-8.774722609943447,-0.13548172256417948,timesfm_C1_validated_global,1.6638164851589088,0.09848602339777657,*,1.6493316164605454,0.10142208403124837,ns
path,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,6,252,42,0.647464404088527,0.6303054958899337,-2.650170123676362,-5.2379054387213175,-0.06814008269806596,timesfm_C1_validated_global,1.8031482902132294,0.07256416589371525,*,1.6775174070753727,0.09468610650831334,*
path,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,12,432,36,1.2332855181209013,1.2225321355121819,-0.8719296911151447,-2.337130604459739,0.5370410964611829,timesfm_C1_validated_global,0.9282652316172096,0.3537895570999027,ns,1.4530184030452662,0.14694631095607374,ns
endpoint,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,1,47,47,0.21029511500802783,0.1951982194006292,-7.178909318374951,-14.971823088666424,0.6056181835311184,timesfm_C1_validated_global,1.754412586667659,0.08601957641552369,*,1.2083939026171424,0.23307123966887705,ns
endpoint,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,3,45,45,0.5447677563336043,0.5303211095844181,-2.6518909353987796,-6.22624194262694,0.6899718299305836,timesfm_C1_validated_global,1.0151632643761028,0.31557794442978604,ns,1.1002000109083094,0.2772279629310391,ns
endpoint,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,6,42,42,1.075967790271274,1.054724080099592,-1.974381609167505,-3.8826566479054825,-0.2804557372385591,timesfm_C1_validated_global,1.0446227009932358,0.3023175199715178,ns,0.7539377610473447,0.4551949361301001,ns
endpoint,Global,TimesFM validated context,timesfm_C0_global,timesfm_C1_validated_global,12,36,36,2.011331101511441,2.0188259865721383,0.37263308139894924,-0.6433617310378765,1.7532236530674579,timesfm_C0_global,-0.5891153924222555,0.5595673996596766,ns,0.5546367622958516,0.582670378063324,ns
path,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,1,47,47,0.20044966361038558,0.19070136808278298,-4.863213712620826,-21.59099898482483,18.931717867115783,arima,0.4621715147299547,0.6461369260498677,ns,0.7878585187322376,0.4348206428549001,ns
path,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,3,135,45,0.341733177946528,0.35654408572532686,4.334056139294836,-12.438677644579132,25.02790167183189,chronos2_C1_inst_global,-0.40543090673481824,0.6858073792469221,ns,-0.42713213624332197,0.6699686161203793,ns
path,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,6,252,42,0.5913587983253581,0.6821288379410344,15.349402067361446,-3.804405030614618,39.19245702719187,chronos2_C1_inst_global,-1.1602695072752882,0.24704150109283074,ns,-1.0600283105036836,0.2901506879678297,ns
path,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,12,432,36,1.143286435334759,1.5443560436970605,35.08041344379868,8.738728455114154,74.50998950925812,chronos2_C1_inst_global,-1.8809800781055825,0.06064853365656442,*,-1.667510512305278,0.09613930904303492,*
endpoint,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,1,47,47,0.20044966361038558,0.19070136808278298,-4.863213712620826,-21.59099898482483,18.931717867115783,arima,0.4621715147299547,0.6461369260498677,ns,0.7878585187322376,0.4348206428549001,ns
endpoint,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,3,45,45,0.4962981128936927,0.539317190004311,8.667991272381286,-10.024070482184122,33.15408897628755,chronos2_C1_inst_global,-0.48461611340012883,0.6303525218067445,ns,-0.42175910390657756,0.6752544070966546,ns
endpoint,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,6,42,42,0.9898391092226058,1.2438891695546392,25.66579335621098,2.9249905704215915,57.40219568473876,chronos2_C1_inst_global,-0.6903393174169138,0.4938704700737636,ns,-0.5854403830405802,0.5614603666201073,ns
endpoint,Global,Chronos-2 vs ARIMA,chronos2_C1_inst_global,arima,12,36,36,1.9697762594013035,2.894440977878863,46.94262681176813,14.18538888105777,100.0514855959768,chronos2_C1_inst_global,-0.8539654501902417,0.39893138006959117,ns,-0.744982010496849,0.4612561415886727,ns
path,Global,Chronos-2 vs AutoARIMA,chronos2_C1_inst_global,auto_arima,1,47,47,0.20044966361038558,0.17866293951079507,-10.86892524895298,-26.151944846554652,7.006270830094807,auto_arima,1.2429361976751372,0.2201897040813125,ns,1.1582857974948584,0.25272578369238974,ns
path,Global,Chronos-2 vs AutoARIMA,chronos2_C1_inst_global,auto_arima,3,135,45,0.341733177946528,0.3304854813320288,-3.2913680439477733,-11.54477355616457,6.128520022004738,auto_arima,0.6288133849135052,0.5305416795480531,ns,0.1094605450193493,0.9130009679736059,ns
